Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
"Education, scientific and research services",Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Land geomorphology,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Minerals,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Ocean geomorphology,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Soils and sediments,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Species,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Polar-Alpine ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Palustrine Wetlands ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Semi-confined transitional waters,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Anthropogenic marine systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Marine shelfs,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Education, scientific and research services",Water,A,Brackish tidal systems ,1,Y,"All Ecosystem components provide an educational, scientific and research services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Atmosphere,A,Brackish tidal systems ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Structural and Biotic Integrity,A,Brackish tidal systems ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Land geomorphology,A,Brackish tidal systems ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Minerals,A,Brackish tidal systems ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
